Sleep_Hours,Work_Hours,Physical_Activity_Hours,Social_Media_Usage,Diet_Quality,Smoking_Habit,Alcohol_Consumption,Stress_Level
0.08333333333333337,0.42000000000000004,0.0,0.6545454545454544,0.0,0.0,0.6666666666666666,Low
0.9166666666666666,0.7000000000000001,1.0,0.6545454545454544,0.0,0.3333333333333333,1.0,Medium
0.33333333333333337,0.7600000000000001,0.7000000000000001,0.5272727272727272,1.0,0.3333333333333333,0.0,High
0.8000000000000002,0.62,0.30000000000000004,0.9090909090909091,0.0,0.0,0.0,Medium
0.8000000000000002,0.0,1.0,0.4727272727272728,1.0,0.3333333333333333,1.0,Low
0.7499999999999999,0.28,0.2,0.6181818181818182,0.0,0.3333333333333333,0.0,Medium
0.21666666666666667,0.8000000000000002,0.4,0.8363636363636363,1.0,1.0,1.0,High
0.0,0.7600000000000001,1.0,0.8,0.5,0.0,0.0,Low
0.09999999999999998,0.5599999999999999,0.8,0.23636363636363636,0.5,1.0,0.3333333333333333,Medium
0.65,0.5000000000000001,1.0,0.7090909090909091,0.0,0.6666666666666666,0.3333333333333333,Low
0.6999999999999998,0.7200000000000001,0.4,0.09090909090909091,0.5,0.3333333333333333,0.6666666666666666,Medium
0.04999999999999993,0.08000000000000007,0.5,0.12727272727272726,1.0,0.0,0.0,Low
0.2666666666666666,1.0,0.8,0.9999999999999999,1.0,0.0,1.0,Low
0.2833333333333333,0.18000000000000005,0.6000000000000001,0.4363636363636363,1.0,0.6666666666666666,1.0,High
0.7666666666666665,0.9400000000000001,0.7000000000000001,0.1090909090909091,0.5,0.0,0.0,Low
0.1166666666666667,0.5599999999999999,0.9,0.49090909090909096,1.0,0.6666666666666666,0.6666666666666666,Low
0.9833333333333333,0.4800000000000001,0.8,0.2909090909090909,0.0,0.3333333333333333,0.6666666666666666,Low
0.8833333333333334,0.62,0.8,0.49090909090909096,0.5,1.0,0.6666666666666666,Low
0.31666666666666676,0.22000000000000008,0.30000000000000004,0.9090909090909091,0.0,1.0,1.0,Medium
0.43333333333333324,0.5400000000000001,0.2,0.5636363636363636,0.0,1.0,0.3333333333333333,High
0.8333333333333334,0.12,0.7000000000000001,0.9090909090909091,0.0,0.0,0.0,Medium
0.7833333333333331,0.88,0.1,0.7272727272727273,0.5,0.0,0.3333333333333333,Low
0.16666666666666663,0.28,0.2,0.8727272727272727,0.5,0.0,0.6666666666666666,Medium
0.45000000000000007,0.68,0.2,0.14545454545454548,0.0,0.6666666666666666,0.0,Low
0.8833333333333334,0.4,0.7000000000000001,0.8,0.5,1.0,0.6666666666666666,Low
0.33333333333333337,0.64,0.9,0.7818181818181817,0.0,0.0,1.0,Low
0.15000000000000002,0.18000000000000005,0.5,0.6545454545454544,1.0,0.0,0.0,High
0.04999999999999993,0.28,0.7000000000000001,0.20000000000000004,0.0,0.3333333333333333,0.0,Low
0.5333333333333333,0.4600000000000001,0.0,0.8727272727272727,1.0,0.3333333333333333,0.3333333333333333,Medium
